prompt,Payment ID,Sentiment_Result,Sentiment_Label,Sentiment_Score
"Payment PAYMENT-000010 of ₹9152 from account XXXXXXXX6404 was processed on 2025-06-04 with Dual validation.
First validation completed on 20250601 with outcome: PASSED.
Second validation completed on 20250530 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000010,"{'label': 'LABEL_0', 'score': 0.597}",LABEL_0,0.597
"Payment PAYMENT-000011 of ₹1247 from account XXXXXXXX5864 was processed on 2025-06-24 with Single validation.
First validation completed on 20250619 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000011,"{'label': 'LABEL_0', 'score': 0.638}",LABEL_0,0.638
"Payment PAYMENT-000012 of ₹9638 from account XXXXXXXX9789 was processed on 2025-07-11 with Dual validation.
First validation completed on 20250706 with outcome: PASSED.
Second validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000012,"{'label': 'LABEL_0', 'score': 0.525}",LABEL_0,0.525
"Payment PAYMENT-000013 of ₹3179 from account XXXXXXXX3139 was processed on 2025-07-19 with Single validation.
First validation completed on 20250715 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000013,"{'label': 'LABEL_0', 'score': 0.596}",LABEL_0,0.596
"Payment PAYMENT-000014 of ₹6953 from account XXXXXXXX7108 was processed on 2025-06-22 with Dual validation.
First validation completed on 20250617 with outcome: PASSED.
Second validation completed on 20250616 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000014,"{'label': 'LABEL_1', 'score': 0.567}",LABEL_1,0.567
"Payment PAYMENT-000015 of ₹4205 from account XXXXXXXX3509 was processed on 2025-06-29 with Single validation.
First validation completed on 20250626 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000015,"{'label': 'LABEL_0', 'score': 0.68}",LABEL_0,0.68
"Payment PAYMENT-000016 of ₹6916 from account XXXXXXXX1954 was processed on 2025-06-17 with Dual validation.
First validation completed on 20250612 with outcome: PASSED.
Second validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000016,"{'label': 'LABEL_1', 'score': 0.563}",LABEL_1,0.563
"Payment PAYMENT-000017 of ₹4831 from account XXXXXXXX2315 was processed on 2025-06-22 with Single validation.
First validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000017,"{'label': 'LABEL_0', 'score': 0.615}",LABEL_0,0.615
"Payment PAYMENT-000018 of ₹1616 from account XXXXXXXX4400 was processed on 2025-06-26 with Single validation.
First validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000018,"{'label': 'LABEL_0', 'score': 0.679}",LABEL_0,0.679
"Payment PAYMENT-000019 of ₹8898 from account XXXXXXXX2591 was processed on 2025-06-25 with Dual validation.
First validation completed on 20250621 with outcome: FAILED.
Second validation completed on 20250619 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000019,"{'label': 'LABEL_0', 'score': 0.594}",LABEL_0,0.594
"Payment PAYMENT-000020 of ₹481 from account XXXXXXXX7240 was processed on 2025-07-13 with Single validation.
First validation completed on 20250712 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000020,"{'label': 'LABEL_0', 'score': 0.592}",LABEL_0,0.592
"Payment PAYMENT-000021 of ₹6296 from account XXXXXXXX7942 was processed on 2025-07-23 with Dual validation.
First validation completed on 20250720 with outcome: PASSED.
Second validation completed on 20250719 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000021,"{'label': 'LABEL_1', 'score': 0.522}",LABEL_1,0.522
"Payment PAYMENT-000022 of ₹7072 from account XXXXXXXX5592 was processed on 2025-06-10 with Single validation.
First validation completed on 20250608 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000022,"{'label': 'LABEL_0', 'score': 0.655}",LABEL_0,0.655
"Payment PAYMENT-000023 of ₹1513 from account XXXXXXXX4236 was processed on 2025-06-08 with Single validation.
First validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000023,"{'label': 'LABEL_0', 'score': 0.65}",LABEL_0,0.65
"Payment PAYMENT-000024 of ₹1636 from account XXXXXXXX4119 was processed on 2025-06-21 with Single validation.
First validation completed on 20250617 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000024,"{'label': 'LABEL_0', 'score': 0.649}",LABEL_0,0.649
"Payment PAYMENT-000025 of ₹3990 from account XXXXXXXX7846 was processed on 2025-07-25 with Single validation.
First validation completed on 20250721 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000025,"{'label': 'LABEL_0', 'score': 0.634}",LABEL_0,0.634
"Payment PAYMENT-000026 of ₹564 from account XXXXXXXX2236 was processed on 2025-07-20 with Single validation.
First validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000026,"{'label': 'LABEL_0', 'score': 0.674}",LABEL_0,0.674
"Payment PAYMENT-000027 of ₹2351 from account XXXXXXXX5729 was processed on 2025-06-10 with Single validation.
First validation completed on 20250609 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000027,"{'label': 'LABEL_0', 'score': 0.631}",LABEL_0,0.631
"Payment PAYMENT-000028 of ₹987 from account XXXXXXXX2511 was processed on 2025-06-17 with Single validation.
First validation completed on 20250613 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000028,"{'label': 'LABEL_0', 'score': 0.631}",LABEL_0,0.631
"Payment PAYMENT-000029 of ₹7810 from account XXXXXXXX5235 was processed on 2025-06-03 with Dual validation.
First validation completed on 20250529 with outcome: PASSED.
Second validation completed on 20250527 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000029,"{'label': 'LABEL_0', 'score': 0.551}",LABEL_0,0.551
"Payment PAYMENT-000030 of ₹7419 from account XXXXXXXX7217 was processed on 2025-07-23 with Dual validation.
First validation completed on 20250722 with outcome: PASSED.
Second validation completed on 20250721 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000030,"{'label': 'LABEL_0', 'score': 0.533}",LABEL_0,0.533
"Payment PAYMENT-000031 of ₹5186 from account XXXXXXXX2534 was processed on 2025-07-03 with Dual validation.
First validation completed on 20250702 with outcome: PASSED.
Second validation completed on 20250630 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000031,"{'label': 'LABEL_1', 'score': 0.504}",LABEL_1,0.504
"Payment PAYMENT-000032 of ₹664 from account XXXXXXXX3847 was processed on 2025-07-17 with Single validation.
First validation completed on 20250715 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000032,"{'label': 'LABEL_0', 'score': 0.668}",LABEL_0,0.668
"Payment PAYMENT-000033 of ₹7794 from account XXXXXXXX7727 was processed on 2025-07-01 with Dual validation.
First validation completed on 20250629 with outcome: PASSED.
Second validation completed on 20250627 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000033,"{'label': 'LABEL_0', 'score': 0.523}",LABEL_0,0.523
"Payment PAYMENT-000034 of ₹4904 from account XXXXXXXX8674 was processed on 2025-07-06 with Single validation.
First validation completed on 20250701 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000034,"{'label': 'LABEL_0', 'score': 0.71}",LABEL_0,0.71
"Payment PAYMENT-000035 of ₹4200 from account XXXXXXXX8167 was processed on 2025-06-28 with Single validation.
First validation completed on 20250625 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000035,"{'label': 'LABEL_0', 'score': 0.716}",LABEL_0,0.716
"Payment PAYMENT-000036 of ₹3727 from account XXXXXXXX2421 was processed on 2025-07-27 with Single validation.
First validation completed on 20250723 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000036,"{'label': 'LABEL_0', 'score': 0.677}",LABEL_0,0.677
"Payment PAYMENT-000037 of ₹1838 from account XXXXXXXX8104 was processed on 2025-07-29 with Single validation.
First validation completed on 20250727 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000037,"{'label': 'LABEL_0', 'score': 0.628}",LABEL_0,0.628
"Payment PAYMENT-000038 of ₹4922 from account XXXXXXXX2982 was processed on 2025-06-29 with Single validation.
First validation completed on 20250627 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000038,"{'label': 'LABEL_0', 'score': 0.665}",LABEL_0,0.665
"Payment PAYMENT-000039 of ₹5288 from account XXXXXXXX3950 was processed on 2025-06-14 with Dual validation.
First validation completed on 20250609 with outcome: PASSED.
Second validation completed on 20250608 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000039,"{'label': 'LABEL_0', 'score': 0.535}",LABEL_0,0.535
"Payment PAYMENT-000040 of ₹6387 from account XXXXXXXX9800 was processed on 2025-07-24 with Dual validation.
First validation completed on 20250720 with outcome: PASSED.
Second validation completed on 20250718 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000040,"{'label': 'LABEL_0', 'score': 0.624}",LABEL_0,0.624
"Payment PAYMENT-000041 of ₹1952 from account XXXXXXXX2903 was processed on 2025-06-21 with Single validation.
First validation completed on 20250619 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000041,"{'label': 'LABEL_0', 'score': 0.601}",LABEL_0,0.601
"Payment PAYMENT-000042 of ₹425 from account XXXXXXXX4539 was processed on 2025-06-06 with Single validation.
First validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000042,"{'label': 'LABEL_0', 'score': 0.64}",LABEL_0,0.64
"Payment PAYMENT-000043 of ₹7393 from account XXXXXXXX9262 was processed on 2025-07-16 with Dual validation.
First validation completed on 20250714 with outcome: PASSED.
Second validation completed on 20250713 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000043,"{'label': 'LABEL_1', 'score': 0.523}",LABEL_1,0.523
"Payment PAYMENT-000044 of ₹3186 from account XXXXXXXX7776 was processed on 2025-07-17 with Single validation.
First validation completed on 20250715 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000044,"{'label': 'LABEL_0', 'score': 0.687}",LABEL_0,0.687
"Payment PAYMENT-000045 of ₹8907 from account XXXXXXXX9014 was processed on 2025-07-23 with Dual validation.
First validation completed on 20250722 with outcome: PASSED.
Second validation completed on 20250720 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000045,"{'label': 'LABEL_0', 'score': 0.515}",LABEL_0,0.515
"Payment PAYMENT-000046 of ₹995 from account XXXXXXXX9678 was processed on 2025-06-15 with Single validation.
First validation completed on 20250610 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000046,"{'label': 'LABEL_0', 'score': 0.661}",LABEL_0,0.661
"Payment PAYMENT-000047 of ₹4515 from account XXXXXXXX4249 was processed on 2025-06-05 with Single validation.
First validation completed on 20250601 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000047,"{'label': 'LABEL_0', 'score': 0.681}",LABEL_0,0.681
"Payment PAYMENT-000048 of ₹1575 from account XXXXXXXX6626 was processed on 2025-06-24 with Single validation.
First validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000048,"{'label': 'LABEL_0', 'score': 0.718}",LABEL_0,0.718
"Payment PAYMENT-000049 of ₹9101 from account XXXXXXXX4946 was processed on 2025-07-07 with Dual validation.
First validation completed on 20250706 with outcome: PASSED.
Second validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000049,"{'label': 'LABEL_0', 'score': 0.506}",LABEL_0,0.506
"Payment PAYMENT-000050 of ₹9805 from account XXXXXXXX8582 was processed on 2025-06-26 with Dual validation.
First validation completed on 20250623 with outcome: PASSED.
Second validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000050,"{'label': 'LABEL_0', 'score': 0.568}",LABEL_0,0.568
"Payment PAYMENT-000051 of ₹4849 from account XXXXXXXX1345 was processed on 2025-07-13 with Single validation.
First validation completed on 20250709 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000051,"{'label': 'LABEL_0', 'score': 0.621}",LABEL_0,0.621
"Payment PAYMENT-000052 of ₹8618 from account XXXXXXXX4718 was processed on 2025-06-15 with Dual validation.
First validation completed on 20250611 with outcome: PASSED.
Second validation completed on 20250610 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000052,"{'label': 'LABEL_0', 'score': 0.503}",LABEL_0,0.503
"Payment PAYMENT-000053 of ₹1467 from account XXXXXXXX1245 was processed on 2025-07-13 with Single validation.
First validation completed on 20250711 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000053,"{'label': 'LABEL_0', 'score': 0.631}",LABEL_0,0.631
"Payment PAYMENT-000054 of ₹3384 from account XXXXXXXX7016 was processed on 2025-06-19 with Single validation.
First validation completed on 20250618 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000054,"{'label': 'LABEL_0', 'score': 0.659}",LABEL_0,0.659
"Payment PAYMENT-000055 of ₹6724 from account XXXXXXXX1665 was processed on 2025-06-04 with Dual validation.
First validation completed on 20250531 with outcome: PASSED.
Second validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000055,"{'label': 'LABEL_0', 'score': 0.62}",LABEL_0,0.62
"Payment PAYMENT-000056 of ₹7420 from account XXXXXXXX4834 was processed on 2025-07-17 with Dual validation.
First validation completed on 20250715 with outcome: PASSED.
Second validation completed on 20250713 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000056,"{'label': 'LABEL_0', 'score': 0.566}",LABEL_0,0.566
"Payment PAYMENT-000057 of ₹3787 from account XXXXXXXX5557 was processed on 2025-07-02 with Single validation.
First validation completed on 20250701 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000057,"{'label': 'LABEL_0', 'score': 0.722}",LABEL_0,0.722
"Payment PAYMENT-000058 of ₹9114 from account XXXXXXXX6738 was processed on 2025-07-02 with Dual validation.
First validation completed on 20250629 with outcome: PASSED.
Second validation completed on 20250626 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000058,"{'label': 'LABEL_0', 'score': 0.503}",LABEL_0,0.503
"Payment PAYMENT-000059 of ₹5146 from account XXXXXXXX3042 was processed on 2025-06-22 with Dual validation.
First validation completed on 20250617 with outcome: PASSED.
Second validation completed on 20250616 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000059,"{'label': 'LABEL_1', 'score': 0.514}",LABEL_1,0.514
"Payment PAYMENT-000060 of ₹5011 from account XXXXXXXX5070 was processed on 2025-07-17 with Dual validation.
First validation completed on 20250716 with outcome: PASSED.
Second validation completed on 20250714 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000060,"{'label': 'LABEL_1', 'score': 0.528}",LABEL_1,0.528
"Payment PAYMENT-000061 of ₹6748 from account XXXXXXXX7636 was processed on 2025-06-13 with Dual validation.
First validation completed on 20250612 with outcome: PASSED.
Second validation completed on 20250610 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000061,"{'label': 'LABEL_0', 'score': 0.561}",LABEL_0,0.561
"Payment PAYMENT-000062 of ₹9965 from account XXXXXXXX8184 was processed on 2025-07-08 with Dual validation.
First validation completed on 20250705 with outcome: FAILED.
Second validation completed on 20250702 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000062,"{'label': 'LABEL_0', 'score': 0.647}",LABEL_0,0.647
"Payment PAYMENT-000063 of ₹2123 from account XXXXXXXX6318 was processed on 2025-06-29 with Single validation.
First validation completed on 20250627 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000063,"{'label': 'LABEL_0', 'score': 0.637}",LABEL_0,0.637
"Payment PAYMENT-000064 of ₹6570 from account XXXXXXXX3439 was processed on 2025-06-21 with Dual validation.
First validation completed on 20250617 with outcome: PASSED.
Second validation completed on 20250614 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000064,"{'label': 'LABEL_0', 'score': 0.523}",LABEL_0,0.523
"Payment PAYMENT-000065 of ₹6551 from account XXXXXXXX9902 was processed on 2025-07-08 with Dual validation.
First validation completed on 20250705 with outcome: PASSED.
Second validation completed on 20250702 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000065,"{'label': 'LABEL_0', 'score': 0.511}",LABEL_0,0.511
"Payment PAYMENT-000066 of ₹1092 from account XXXXXXXX5266 was processed on 2025-06-06 with Single validation.
First validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000066,"{'label': 'LABEL_0', 'score': 0.72}",LABEL_0,0.72
"Payment PAYMENT-000067 of ₹5160 from account XXXXXXXX8395 was processed on 2025-06-27 with Dual validation.
First validation completed on 20250625 with outcome: PASSED.
Second validation completed on 20250622 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000067,"{'label': 'LABEL_0', 'score': 0.578}",LABEL_0,0.578
"Payment PAYMENT-000068 of ₹7131 from account XXXXXXXX8477 was processed on 2025-07-27 with Dual validation.
First validation completed on 20250726 with outcome: PASSED.
Second validation completed on 20250724 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000068,"{'label': 'LABEL_0', 'score': 0.526}",LABEL_0,0.526
"Payment PAYMENT-000069 of ₹8325 from account XXXXXXXX8699 was processed on 2025-06-11 with Dual validation.
First validation completed on 20250609 with outcome: PASSED.
Second validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000069,"{'label': 'LABEL_0', 'score': 0.507}",LABEL_0,0.507
"Payment PAYMENT-000070 of ₹3722 from account XXXXXXXX8917 was processed on 2025-06-13 with Single validation.
First validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000070,"{'label': 'LABEL_0', 'score': 0.633}",LABEL_0,0.633
"Payment PAYMENT-000071 of ₹3512 from account XXXXXXXX5372 was processed on 2025-06-18 with Single validation.
First validation completed on 20250613 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000071,"{'label': 'LABEL_0', 'score': 0.608}",LABEL_0,0.608
"Payment PAYMENT-000072 of ₹1013 from account XXXXXXXX3284 was processed on 2025-07-28 with Single validation.
First validation completed on 20250724 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000072,"{'label': 'LABEL_0', 'score': 0.651}",LABEL_0,0.651
"Payment PAYMENT-000073 of ₹1769 from account XXXXXXXX6957 was processed on 2025-07-28 with Single validation.
First validation completed on 20250723 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000073,"{'label': 'LABEL_0', 'score': 0.628}",LABEL_0,0.628
"Payment PAYMENT-000074 of ₹6754 from account XXXXXXXX5917 was processed on 2025-06-08 with Dual validation.
First validation completed on 20250606 with outcome: PASSED.
Second validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000074,"{'label': 'LABEL_0', 'score': 0.594}",LABEL_0,0.594
"Payment PAYMENT-000075 of ₹9535 from account XXXXXXXX2473 was processed on 2025-06-29 with Dual validation.
First validation completed on 20250628 with outcome: PASSED.
Second validation completed on 20250625 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000075,"{'label': 'LABEL_1', 'score': 0.516}",LABEL_1,0.516
"Payment PAYMENT-000076 of ₹4423 from account XXXXXXXX4414 was processed on 2025-06-13 with Single validation.
First validation completed on 20250609 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000076,"{'label': 'LABEL_0', 'score': 0.635}",LABEL_0,0.635
