prompt,Payment ID,NER_Entities
"Payment PAYMENT-000033 of ₹129 from account XXXXXXXX8657 was processed on 2025-07-22 with Single validation.
First validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000033,{}
"Payment PAYMENT-000034 of ₹236 from account XXXXXXXX9459 was processed on 2025-06-25 with Single validation.
First validation completed on 20250622 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000034,{}
"Payment PAYMENT-000035 of ₹1872 from account XXXXXXXX5897 was processed on 2025-07-21 with Single validation.
First validation completed on 20250719 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000035,{}
"Payment PAYMENT-000036 of ₹6425 from account XXXXXXXX3651 was processed on 2025-06-09 with Dual validation.
First validation completed on 20250606 with outcome: PASSED.
Second validation completed on 20250603 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000036,{}
"Payment PAYMENT-000037 of ₹9009 from account XXXXXXXX2074 was processed on 2025-06-18 with Dual validation.
First validation completed on 20250613 with outcome: PASSED.
Second validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000037,{}
"Payment PAYMENT-000038 of ₹2077 from account XXXXXXXX9327 was processed on 2025-06-09 with Single validation.
First validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000038,{}
"Payment PAYMENT-000039 of ₹548 from account XXXXXXXX8114 was processed on 2025-07-03 with Single validation.
First validation completed on 20250702 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000039,{}
"Payment PAYMENT-000040 of ₹9778 from account XXXXXXXX9835 was processed on 2025-06-16 with Dual validation.
First validation completed on 20250612 with outcome: PASSED.
Second validation completed on 20250610 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000040,{}
"Payment PAYMENT-000041 of ₹3368 from account XXXXXXXX7016 was processed on 2025-06-26 with Single validation.
First validation completed on 20250625 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000041,{}
"Payment PAYMENT-000042 of ₹6826 from account XXXXXXXX5579 was processed on 2025-06-09 with Dual validation.
First validation completed on 20250606 with outcome: PASSED.
Second validation completed on 20250604 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000042,{}
"Payment PAYMENT-000043 of ₹9087 from account XXXXXXXX8756 was processed on 2025-07-19 with Dual validation.
First validation completed on 20250715 with outcome: FAILED.
Second validation completed on 20250714 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000043,{}
"Payment PAYMENT-000044 of ₹9352 from account XXXXXXXX3285 was processed on 2025-06-03 with Dual validation.
First validation completed on 20250531 with outcome: PASSED.
Second validation completed on 20250529 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000044,{}
"Payment PAYMENT-000045 of ₹1736 from account XXXXXXXX4946 was processed on 2025-07-21 with Single validation.
First validation completed on 20250720 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000045,{}
"Payment PAYMENT-000046 of ₹3080 from account XXXXXXXX3613 was processed on 2025-06-06 with Single validation.
First validation completed on 20250605 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000046,{}
"Payment PAYMENT-000047 of ₹8943 from account XXXXXXXX3869 was processed on 2025-07-08 with Dual validation.
First validation completed on 20250706 with outcome: PASSED.
Second validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000047,{}
"Payment PAYMENT-000048 of ₹6289 from account XXXXXXXX7792 was processed on 2025-06-11 with Dual validation.
First validation completed on 20250606 with outcome: PASSED.
Second validation completed on 20250604 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000048,{}
"Payment PAYMENT-000049 of ₹8451 from account XXXXXXXX9297 was processed on 2025-06-28 with Dual validation.
First validation completed on 20250623 with outcome: PASSED.
Second validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000049,{}
"Payment PAYMENT-000050 of ₹6887 from account XXXXXXXX8243 was processed on 2025-06-17 with Dual validation.
First validation completed on 20250614 with outcome: PASSED.
Second validation completed on 20250613 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000050,{}
"Payment PAYMENT-000051 of ₹4678 from account XXXXXXXX7934 was processed on 2025-07-28 with Single validation.
First validation completed on 20250727 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000051,{}
"Payment PAYMENT-000052 of ₹5493 from account XXXXXXXX2440 was processed on 2025-06-10 with Dual validation.
First validation completed on 20250609 with outcome: PASSED.
Second validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000052,{}
"Payment PAYMENT-000053 of ₹5637 from account XXXXXXXX8093 was processed on 2025-07-04 with Dual validation.
First validation completed on 20250702 with outcome: PASSED.
Second validation completed on 20250630 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000053,{}
"Payment PAYMENT-000054 of ₹923 from account XXXXXXXX9457 was processed on 2025-06-09 with Single validation.
First validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000054,{}
"Payment PAYMENT-000055 of ₹5126 from account XXXXXXXX4560 was processed on 2025-07-03 with Dual validation.
First validation completed on 20250630 with outcome: PASSED.
Second validation completed on 20250627 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000055,{}
"Payment PAYMENT-000056 of ₹1105 from account XXXXXXXX5857 was processed on 2025-06-17 with Single validation.
First validation completed on 20250615 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000056,{}
"Payment PAYMENT-000057 of ₹8644 from account XXXXXXXX8744 was processed on 2025-06-21 with Dual validation.
First validation completed on 20250617 with outcome: PASSED.
Second validation completed on 20250615 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000057,{}
"Payment PAYMENT-000058 of ₹9048 from account XXXXXXXX3564 was processed on 2025-07-07 with Dual validation.
First validation completed on 20250705 with outcome: PASSED.
Second validation completed on 20250704 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000058,{}
"Payment PAYMENT-000059 of ₹8797 from account XXXXXXXX4914 was processed on 2025-07-03 with Dual validation.
First validation completed on 20250701 with outcome: PASSED.
Second validation completed on 20250630 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000059,{}
"Payment PAYMENT-000060 of ₹8287 from account XXXXXXXX3864 was processed on 2025-06-16 with Dual validation.
First validation completed on 20250612 with outcome: PASSED.
Second validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000060,{}
"Payment PAYMENT-000061 of ₹8076 from account XXXXXXXX3873 was processed on 2025-07-08 with Dual validation.
First validation completed on 20250704 with outcome: PASSED.
Second validation completed on 20250703 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000061,{}
"Payment PAYMENT-000062 of ₹7207 from account XXXXXXXX5211 was processed on 2025-07-07 with Dual validation.
First validation completed on 20250706 with outcome: PASSED.
Second validation completed on 20250704 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000062,{}
"Payment PAYMENT-000063 of ₹2427 from account XXXXXXXX1901 was processed on 2025-06-19 with Single validation.
First validation completed on 20250614 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000063,{}
"Payment PAYMENT-000064 of ₹1723 from account XXXXXXXX3980 was processed on 2025-06-09 with Single validation.
First validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000064,{}
"Payment PAYMENT-000065 of ₹2273 from account XXXXXXXX3581 was processed on 2025-06-29 with Single validation.
First validation completed on 20250626 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000065,{}
"Payment PAYMENT-000066 of ₹9432 from account XXXXXXXX8885 was processed on 2025-06-24 with Dual validation.
First validation completed on 20250619 with outcome: PASSED.
Second validation completed on 20250617 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000066,{}
"Payment PAYMENT-000067 of ₹7376 from account XXXXXXXX1402 was processed on 2025-07-17 with Dual validation.
First validation completed on 20250712 with outcome: PASSED.
Second validation completed on 20250711 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000067,{}
"Payment PAYMENT-000068 of ₹6446 from account XXXXXXXX4850 was processed on 2025-07-30 with Dual validation.
First validation completed on 20250727 with outcome: FAILED.
Second validation completed on 20250725 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000068,{}
"Payment PAYMENT-000069 of ₹3298 from account XXXXXXXX1940 was processed on 2025-07-17 with Single validation.
First validation completed on 20250716 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000069,{}
"Payment PAYMENT-000070 of ₹6855 from account XXXXXXXX5866 was processed on 2025-06-28 with Dual validation.
First validation completed on 20250627 with outcome: PASSED.
Second validation completed on 20250624 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000070,{}
"Payment PAYMENT-000071 of ₹8105 from account XXXXXXXX9944 was processed on 2025-07-09 with Dual validation.
First validation completed on 20250705 with outcome: PASSED.
Second validation completed on 20250702 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000071,{}
"Payment PAYMENT-000072 of ₹7568 from account XXXXXXXX1032 was processed on 2025-07-27 with Dual validation.
First validation completed on 20250725 with outcome: PASSED.
Second validation completed on 20250722 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000072,{}
"Payment PAYMENT-000073 of ₹6166 from account XXXXXXXX1837 was processed on 2025-06-06 with Dual validation.
First validation completed on 20250601 with outcome: PASSED.
Second validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000073,{}
"Payment PAYMENT-000074 of ₹3063 from account XXXXXXXX5359 was processed on 2025-06-08 with Single validation.
First validation completed on 20250604 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000074,{}
"Payment PAYMENT-000075 of ₹6763 from account XXXXXXXX6807 was processed on 2025-07-25 with Dual validation.
First validation completed on 20250721 with outcome: PASSED.
Second validation completed on 20250720 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000075,{}
"Payment PAYMENT-000076 of ₹996 from account XXXXXXXX2225 was processed on 2025-06-30 with Single validation.
First validation completed on 20250628 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000076,{}
"Payment PAYMENT-000077 of ₹1032 from account XXXXXXXX1175 was processed on 2025-06-05 with Single validation.
First validation completed on 20250602 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000077,{}
"Payment PAYMENT-000078 of ₹2550 from account XXXXXXXX2243 was processed on 2025-07-01 with Single validation.
First validation completed on 20250626 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000078,{}
"Payment PAYMENT-000079 of ₹1263 from account XXXXXXXX5374 was processed on 2025-07-09 with Single validation.
First validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000079,{}
"Payment PAYMENT-000080 of ₹9740 from account XXXXXXXX4324 was processed on 2025-07-18 with Dual validation.
First validation completed on 20250715 with outcome: PASSED.
Second validation completed on 20250712 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000080,{}
"Payment PAYMENT-000081 of ₹9923 from account XXXXXXXX5183 was processed on 2025-06-02 with Dual validation.
First validation completed on 20250528 with outcome: PASSED.
Second validation completed on 20250525 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000081,{}
"Payment PAYMENT-000082 of ₹6392 from account XXXXXXXX9073 was processed on 2025-07-07 with Dual validation.
First validation completed on 20250703 with outcome: PASSED.
Second validation completed on 20250630 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000082,{}
"Payment PAYMENT-000083 of ₹8407 from account XXXXXXXX3172 was processed on 2025-06-05 with Dual validation.
First validation completed on 20250604 with outcome: PASSED.
Second validation completed on 20250603 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000083,{}
"Payment PAYMENT-000084 of ₹5935 from account XXXXXXXX9628 was processed on 2025-06-12 with Dual validation.
First validation completed on 20250607 with outcome: PASSED.
Second validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000084,{}
"Payment PAYMENT-000085 of ₹8181 from account XXXXXXXX7941 was processed on 2025-07-08 with Dual validation.
First validation completed on 20250706 with outcome: PASSED.
Second validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000085,{}
"Payment PAYMENT-000086 of ₹6772 from account XXXXXXXX2920 was processed on 2025-06-19 with Dual validation.
First validation completed on 20250617 with outcome: PASSED.
Second validation completed on 20250616 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000086,{}
"Payment PAYMENT-000087 of ₹1011 from account XXXXXXXX6702 was processed on 2025-07-25 with Single validation.
First validation completed on 20250722 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000087,{}
"Payment PAYMENT-000088 of ₹861 from account XXXXXXXX8662 was processed on 2025-06-27 with Single validation.
First validation completed on 20250622 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000088,{}
"Payment PAYMENT-000089 of ₹2070 from account XXXXXXXX3481 was processed on 2025-07-14 with Single validation.
First validation completed on 20250710 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000089,{}
"Payment PAYMENT-000090 of ₹9055 from account XXXXXXXX7123 was processed on 2025-06-14 with Dual validation.
First validation completed on 20250609 with outcome: PASSED.
Second validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000090,{}
"Payment PAYMENT-000091 of ₹8930 from account XXXXXXXX8467 was processed on 2025-07-11 with Dual validation.
First validation completed on 20250707 with outcome: PASSED.
Second validation completed on 20250704 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000091,{}
"Payment PAYMENT-000092 of ₹6262 from account XXXXXXXX8092 was processed on 2025-07-16 with Single validation.
First validation completed on 20250714 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000092,{}
