Payment ID,Q1 Label,Q2 Label
PAYMENT-000066,No,Yes
PAYMENT-000067,Yes,Yes
PAYMENT-000068,Yes,Yes
PAYMENT-000069,Yes,Yes
PAYMENT-000070,No,Yes
PAYMENT-000071,No,Yes
PAYMENT-000072,No,Yes
PAYMENT-000073,No,Yes
PAYMENT-000074,Yes,Yes
PAYMENT-000075,Yes,Yes
PAYMENT-000076,No,Yes
PAYMENT-000077,Yes,No
PAYMENT-000078,No,Yes
PAYMENT-000079,No,Yes
PAYMENT-000080,No,Yes
PAYMENT-000081,No,Yes
PAYMENT-000082,Yes,Yes
PAYMENT-000083,No,Yes
PAYMENT-000084,No,Yes
PAYMENT-000085,No,Yes
PAYMENT-000086,Yes,Yes
PAYMENT-000087,Yes,Yes
PAYMENT-000088,Yes,Yes
PAYMENT-000089,No,Yes
PAYMENT-000090,Yes,Yes
PAYMENT-000091,No,Yes
PAYMENT-000092,Yes,Yes
PAYMENT-000093,No,Yes
PAYMENT-000094,No,Yes
PAYMENT-000095,Yes,Yes
PAYMENT-000096,No,Yes
PAYMENT-000097,Yes,Yes
PAYMENT-000098,No,Yes
PAYMENT-000099,No,Yes
PAYMENT-000100,No,Yes
PAYMENT-000101,No,Yes
PAYMENT-000102,Yes,Yes
PAYMENT-000103,Yes,Yes
PAYMENT-000104,No,Yes
PAYMENT-000105,No,Yes
PAYMENT-000106,No,Yes
PAYMENT-000107,Yes,Yes
PAYMENT-000108,No,Yes
PAYMENT-000109,No,Yes
PAYMENT-000110,Yes,Yes
PAYMENT-000111,Yes,Yes
PAYMENT-000112,No,Yes
PAYMENT-000113,No,Yes
PAYMENT-000114,Yes,No
PAYMENT-000115,No,Yes
PAYMENT-000116,Yes,Yes
PAYMENT-000117,No,Yes
PAYMENT-000118,No,Yes
PAYMENT-000119,No,Yes
PAYMENT-000120,No,Yes
PAYMENT-000121,No,Yes
PAYMENT-000122,Yes,Yes
PAYMENT-000123,No,Yes
PAYMENT-000124,No,Yes
PAYMENT-000125,No,Yes
PAYMENT-000126,No,Yes
PAYMENT-000127,Yes,Yes
PAYMENT-000128,Yes,Yes
PAYMENT-000129,No,Yes
PAYMENT-000130,Yes,Yes
PAYMENT-000131,No,Yes
PAYMENT-000132,No,Yes
PAYMENT-000133,Yes,Yes
PAYMENT-000134,No,Yes
PAYMENT-000135,Yes,Yes
PAYMENT-000136,No,Yes
PAYMENT-000137,Yes,Yes
PAYMENT-000138,Yes,Yes
PAYMENT-000139,Yes,Yes
PAYMENT-000140,Yes,Yes
PAYMENT-000141,No,Yes
PAYMENT-000142,Yes,Yes
PAYMENT-000143,No,Yes
PAYMENT-000144,No,Yes
PAYMENT-000145,Yes,Yes
PAYMENT-000146,No,Yes
PAYMENT-000147,No,Yes
PAYMENT-000148,No,Yes
PAYMENT-000149,No,Yes
PAYMENT-000150,No,Yes
PAYMENT-000151,No,Yes
PAYMENT-000152,No,Yes
PAYMENT-000153,Yes,Yes
PAYMENT-000154,Yes,Yes
PAYMENT-000155,No,Yes
PAYMENT-000156,Yes,Yes
PAYMENT-000157,Yes,Yes
PAYMENT-000158,No,Yes
PAYMENT-000159,No,Yes
PAYMENT-000160,No,Yes
PAYMENT-000161,No,Yes
PAYMENT-000162,Yes,Yes
PAYMENT-000163,Yes,Yes
PAYMENT-000164,Yes,Yes
PAYMENT-000165,No,Yes
PAYMENT-000166,No,Yes
PAYMENT-000167,Yes,Yes
PAYMENT-000168,Yes,Yes
PAYMENT-000169,No,Yes
PAYMENT-000170,Yes,Yes
PAYMENT-000171,No,Yes
PAYMENT-000172,Yes,Yes
PAYMENT-000173,No,Yes
PAYMENT-000174,No,Yes
PAYMENT-000175,No,Yes
PAYMENT-000176,No,Yes
PAYMENT-000177,No,Yes
PAYMENT-000178,Yes,Yes
PAYMENT-000179,Yes,Yes
PAYMENT-000180,Yes,Yes
PAYMENT-000181,Yes,No
PAYMENT-000182,No,Yes
PAYMENT-000183,Yes,Yes
PAYMENT-000184,No,Yes
PAYMENT-000185,Yes,No
PAYMENT-000186,No,Yes
PAYMENT-000187,No,Yes
PAYMENT-000188,No,Yes
PAYMENT-000189,No,Yes
PAYMENT-000190,No,Yes
PAYMENT-000191,No,Yes
PAYMENT-000192,No,Yes
PAYMENT-000193,Yes,No
PAYMENT-000194,Yes,Yes
PAYMENT-000195,Yes,Yes
PAYMENT-000196,Yes,Yes
PAYMENT-000197,No,Yes
PAYMENT-000198,No,Yes
PAYMENT-000199,No,Yes
PAYMENT-000200,Yes,Yes
PAYMENT-000201,Yes,Yes
PAYMENT-000202,Yes,Yes
PAYMENT-000203,Yes,Yes
PAYMENT-000204,Yes,No
PAYMENT-000205,Yes,Yes
PAYMENT-000206,No,Yes
PAYMENT-000207,No,Yes
PAYMENT-000208,Yes,Yes
PAYMENT-000209,No,Yes
PAYMENT-000210,Yes,Yes
PAYMENT-000211,Yes,Yes
PAYMENT-000212,Yes,Yes
PAYMENT-000213,Yes,Yes
PAYMENT-000214,Yes,Yes
PAYMENT-000215,Yes,Yes
PAYMENT-000216,Yes,Yes
PAYMENT-000217,No,Yes
PAYMENT-000218,Yes,Yes
PAYMENT-000219,No,Yes
PAYMENT-000220,No,No
PAYMENT-000221,Yes,Yes
PAYMENT-000222,Yes,Yes
PAYMENT-000223,Yes,Yes
PAYMENT-000224,Yes,Yes
PAYMENT-000225,No,Yes
PAYMENT-000226,Yes,Yes
PAYMENT-000227,Yes,No
PAYMENT-000228,Yes,Yes
PAYMENT-000229,No,Yes
PAYMENT-000230,Yes,Yes
PAYMENT-000231,No,Yes
PAYMENT-000232,Yes,Yes
PAYMENT-000233,No,Yes
PAYMENT-000234,No,Yes
PAYMENT-000235,Yes,Yes
PAYMENT-000236,Yes,Yes
PAYMENT-000237,No,Yes
PAYMENT-000238,No,Yes
PAYMENT-000239,No,Yes
PAYMENT-000240,No,Yes
PAYMENT-000241,No,Yes
PAYMENT-000242,No,Yes
PAYMENT-000243,No,Yes
PAYMENT-000244,No,Yes
PAYMENT-000245,No,Yes
PAYMENT-000246,No,Yes
PAYMENT-000247,No,Yes
PAYMENT-000248,Yes,Yes
PAYMENT-000249,No,Yes
PAYMENT-000250,No,Yes
PAYMENT-000251,No,Yes
PAYMENT-000252,No,Yes
PAYMENT-000253,No,Yes
PAYMENT-000254,Yes,Yes
PAYMENT-000255,Yes,Yes
PAYMENT-000256,Yes,Yes
PAYMENT-000257,Yes,Yes
PAYMENT-000258,No,No
PAYMENT-000259,No,Yes
PAYMENT-000260,No,Yes
PAYMENT-000261,Yes,Yes
PAYMENT-000262,No,Yes
PAYMENT-000263,No,Yes
PAYMENT-000264,Yes,Yes
PAYMENT-000265,Yes,Yes
PAYMENT-000266,Yes,Yes
PAYMENT-000267,No,Yes
PAYMENT-000268,No,Yes
PAYMENT-000269,Yes,Yes
PAYMENT-000270,No,Yes
PAYMENT-000271,Yes,Yes
PAYMENT-000272,Yes,Yes
PAYMENT-000273,No,Yes
PAYMENT-000274,Yes,Yes
PAYMENT-000275,No,Yes
PAYMENT-000276,No,Yes
PAYMENT-000277,Yes,Yes
PAYMENT-000278,No,Yes
PAYMENT-000279,No,Yes
PAYMENT-000280,Yes,Yes
PAYMENT-000281,Yes,Yes
PAYMENT-000282,No,Yes
PAYMENT-000283,Yes,Yes
PAYMENT-000284,Yes,Yes
PAYMENT-000285,Yes,Yes
PAYMENT-000286,Yes,Yes
PAYMENT-000287,No,Yes
PAYMENT-000288,Yes,Yes
PAYMENT-000289,No,Yes
PAYMENT-000290,No,Yes
PAYMENT-000291,Yes,Yes
PAYMENT-000292,No,Yes
PAYMENT-000293,No,Yes
PAYMENT-000294,Yes,Yes
PAYMENT-000295,No,Yes
PAYMENT-000296,Yes,Yes
PAYMENT-000297,No,Yes
PAYMENT-000298,No,Yes
PAYMENT-000299,Yes,Yes
PAYMENT-000300,No,Yes
PAYMENT-000301,No,Yes
PAYMENT-000302,Yes,Yes
PAYMENT-000303,Yes,No
PAYMENT-000304,Yes,Yes
PAYMENT-000305,No,Yes
PAYMENT-000306,No,Yes
PAYMENT-000307,No,Yes
PAYMENT-000308,No,Yes
PAYMENT-000309,No,Yes
PAYMENT-000310,Yes,Yes
PAYMENT-000311,No,Yes
PAYMENT-000312,Yes,Yes
PAYMENT-000313,Yes,Yes
PAYMENT-000314,No,Yes
PAYMENT-000315,No,Yes
PAYMENT-000316,Yes,Yes
PAYMENT-000317,No,Yes
PAYMENT-000318,Yes,No
PAYMENT-000319,Yes,Yes
PAYMENT-000320,Yes,Yes
PAYMENT-000321,Yes,Yes
PAYMENT-000322,Yes,Yes
PAYMENT-000323,Yes,Yes
PAYMENT-000324,No,Yes
PAYMENT-000325,Yes,Yes
PAYMENT-000326,Yes,Yes
PAYMENT-000327,Yes,Yes
PAYMENT-000328,Yes,Yes
PAYMENT-000329,Yes,Yes
PAYMENT-000330,Yes,Yes
PAYMENT-000331,Yes,Yes
PAYMENT-000332,Yes,Yes
PAYMENT-000333,No,Yes
PAYMENT-000334,Yes,Yes
PAYMENT-000335,No,Yes
PAYMENT-000336,Yes,No
PAYMENT-000337,Yes,Yes
PAYMENT-000338,No,Yes
PAYMENT-000339,Yes,Yes
PAYMENT-000340,No,Yes
PAYMENT-000341,Yes,Yes
PAYMENT-000342,Yes,Yes
PAYMENT-000343,Yes,Yes
PAYMENT-000344,Yes,Yes
PAYMENT-000345,Yes,Yes
PAYMENT-000346,Yes,Yes
PAYMENT-000347,Yes,Yes
PAYMENT-000348,Yes,Yes
PAYMENT-000349,Yes,Yes
PAYMENT-000350,Yes,Yes
PAYMENT-000351,No,Yes
PAYMENT-000352,No,Yes
PAYMENT-000353,Yes,Yes
PAYMENT-000354,No,Yes
PAYMENT-000355,Yes,Yes
PAYMENT-000356,Yes,Yes
PAYMENT-000357,Yes,Yes
PAYMENT-000358,Yes,Yes
PAYMENT-000359,Yes,Yes
PAYMENT-000360,No,Yes
PAYMENT-000361,Yes,Yes
PAYMENT-000362,Yes,Yes
PAYMENT-000363,No,Yes
PAYMENT-000364,Yes,Yes
PAYMENT-000365,Yes,Yes
PAYMENT-000366,No,No
PAYMENT-000367,Yes,Yes
PAYMENT-000368,Yes,Yes
PAYMENT-000369,No,No
PAYMENT-000370,Yes,No
PAYMENT-000371,No,Yes
PAYMENT-000372,No,No
PAYMENT-000373,No,Yes
PAYMENT-000374,Yes,Yes
PAYMENT-000375,No,No
PAYMENT-000376,No,Yes
PAYMENT-000377,No,Yes
PAYMENT-000378,No,No
PAYMENT-000379,Yes,Yes
PAYMENT-000380,Yes,Yes
PAYMENT-000381,Yes,Yes
PAYMENT-000382,Yes,Yes
PAYMENT-000383,Yes,Yes
PAYMENT-000384,Yes,Yes
PAYMENT-000385,No,Yes
PAYMENT-000386,Yes,Yes
PAYMENT-000387,Yes,Yes
PAYMENT-000388,Yes,Yes
PAYMENT-000389,No,Yes
PAYMENT-000390,Yes,Yes
PAYMENT-000391,Yes,Yes
PAYMENT-000392,Yes,Yes
PAYMENT-000393,No,No
PAYMENT-000394,Yes,Yes
PAYMENT-000395,No,Yes
PAYMENT-000396,Yes,Yes
PAYMENT-000397,Yes,Yes
PAYMENT-000398,No,Yes
PAYMENT-000399,Yes,Yes
PAYMENT-000400,No,Yes
PAYMENT-000401,No,Yes
PAYMENT-000402,Yes,Yes
PAYMENT-000403,No,Yes
PAYMENT-000404,No,Yes
PAYMENT-000405,Yes,Yes
PAYMENT-000406,Yes,Yes
PAYMENT-000407,Yes,No
PAYMENT-000408,No,Yes
PAYMENT-000409,Yes,Yes
PAYMENT-000410,Yes,Yes
PAYMENT-000411,No,Yes
PAYMENT-000412,No,Yes
PAYMENT-000413,Yes,Yes
PAYMENT-000414,Yes,Yes
PAYMENT-000415,No,Yes
PAYMENT-000416,No,Yes
PAYMENT-000417,No,Yes
PAYMENT-000418,No,Yes
PAYMENT-000419,No,Yes
PAYMENT-000420,Yes,Yes
PAYMENT-000421,No,Yes
PAYMENT-000422,Yes,Yes
PAYMENT-000423,Yes,No
PAYMENT-000424,Yes,Yes
PAYMENT-000425,No,Yes
PAYMENT-000426,Yes,Yes
PAYMENT-000427,Yes,Yes
PAYMENT-000428,No,Yes
PAYMENT-000429,Yes,Yes
PAYMENT-000430,No,Yes
PAYMENT-000431,No,Yes
PAYMENT-000432,Yes,Yes
PAYMENT-000433,No,Yes
PAYMENT-000434,No,Yes
PAYMENT-000435,Yes,Yes
PAYMENT-000436,Yes,Yes
PAYMENT-000437,No,Yes
PAYMENT-000438,No,Yes
PAYMENT-000439,Yes,Yes
PAYMENT-000440,No,Yes
PAYMENT-000441,Yes,Yes
PAYMENT-000442,Yes,No
PAYMENT-000443,No,Yes
PAYMENT-000444,No,Yes
PAYMENT-000445,Yes,Yes
PAYMENT-000446,No,Yes
PAYMENT-000447,No,Yes
PAYMENT-000448,Yes,Yes
PAYMENT-000449,No,Yes
PAYMENT-000450,No,Yes
PAYMENT-000451,No,Yes
PAYMENT-000452,No,Yes
PAYMENT-000453,Yes,No
PAYMENT-000454,Yes,Yes
PAYMENT-000455,No,Yes
PAYMENT-000456,No,Yes
PAYMENT-000457,No,Yes
PAYMENT-000458,No,Yes
PAYMENT-000459,No,Yes
PAYMENT-000460,No,Yes
PAYMENT-000461,No,Yes
PAYMENT-000462,Yes,Yes
PAYMENT-000463,Yes,Yes
PAYMENT-000464,No,No
PAYMENT-000465,Yes,Yes
PAYMENT-000466,No,Yes
PAYMENT-000467,No,Yes
PAYMENT-000468,Yes,Yes
PAYMENT-000469,No,Yes
PAYMENT-000470,Yes,No
PAYMENT-000471,Yes,Yes
PAYMENT-000472,Yes,Yes
PAYMENT-000473,No,Yes
PAYMENT-000474,No,Yes
PAYMENT-000475,No,Yes
PAYMENT-000476,Yes,Yes
PAYMENT-000477,No,Yes
PAYMENT-000478,No,Yes
PAYMENT-000479,No,No
PAYMENT-000480,Yes,Yes
PAYMENT-000481,Yes,Yes
PAYMENT-000482,No,Yes
PAYMENT-000483,Yes,No
PAYMENT-000484,Yes,No
PAYMENT-000485,Yes,Yes
PAYMENT-000486,No,Yes
PAYMENT-000487,No,No
PAYMENT-000488,No,Yes
PAYMENT-000489,Yes,Yes
PAYMENT-000490,No,Yes
PAYMENT-000491,Yes,Yes
PAYMENT-000492,Yes,Yes
PAYMENT-000493,No,Yes
PAYMENT-000494,No,Yes
PAYMENT-000495,Yes,Yes
PAYMENT-000496,Yes,Yes
PAYMENT-000497,No,Yes
PAYMENT-000498,No,Yes
PAYMENT-000499,Yes,Yes
PAYMENT-000500,No,Yes
PAYMENT-000501,Yes,Yes
PAYMENT-000502,Yes,Yes
PAYMENT-000503,Yes,Yes
PAYMENT-000504,Yes,Yes
PAYMENT-000505,No,Yes
PAYMENT-000506,No,Yes
PAYMENT-000507,Yes,Yes
PAYMENT-000508,No,Yes
PAYMENT-000509,No,Yes
PAYMENT-000510,No,Yes
PAYMENT-000511,Yes,Yes
PAYMENT-000512,Yes,No
PAYMENT-000513,Yes,Yes
PAYMENT-000514,Yes,Yes
PAYMENT-000515,Yes,Yes
PAYMENT-000516,No,Yes
PAYMENT-000517,No,Yes
PAYMENT-000518,Yes,Yes
PAYMENT-000519,Yes,Yes
PAYMENT-000520,No,Yes
PAYMENT-000521,No,Yes
PAYMENT-000522,No,Yes
PAYMENT-000523,Yes,Yes
PAYMENT-000524,Yes,Yes
PAYMENT-000525,Yes,Yes
PAYMENT-000526,Yes,No
PAYMENT-000527,No,Yes
PAYMENT-000528,Yes,Yes
PAYMENT-000529,Yes,No
PAYMENT-000530,Yes,Yes
PAYMENT-000531,Yes,Yes
PAYMENT-000532,Yes,No
PAYMENT-000533,No,Yes
PAYMENT-000534,Yes,No
PAYMENT-000535,No,Yes
PAYMENT-000536,No,Yes
PAYMENT-000537,No,Yes
PAYMENT-000538,No,Yes
PAYMENT-000539,Yes,Yes
PAYMENT-000540,No,Yes
PAYMENT-000541,No,Yes
PAYMENT-000542,Yes,Yes
PAYMENT-000543,No,Yes
PAYMENT-000544,No,Yes
PAYMENT-000545,Yes,Yes
PAYMENT-000546,No,Yes
PAYMENT-000547,No,Yes
PAYMENT-000548,Yes,Yes
PAYMENT-000549,No,Yes
PAYMENT-000550,No,Yes
PAYMENT-000551,No,Yes
PAYMENT-000552,No,Yes
PAYMENT-000553,Yes,Yes
PAYMENT-000554,No,Yes
PAYMENT-000555,Yes,No
PAYMENT-000556,No,Yes
PAYMENT-000557,No,Yes
PAYMENT-000558,Yes,Yes
PAYMENT-000559,Yes,Yes
PAYMENT-000560,Yes,Yes
PAYMENT-000561,Yes,Yes
PAYMENT-000562,Yes,Yes
PAYMENT-000563,No,Yes
PAYMENT-000564,No,Yes
PAYMENT-000565,No,Yes
PAYMENT-000566,Yes,Yes
PAYMENT-000567,Yes,Yes
PAYMENT-000568,Yes,Yes
PAYMENT-000569,Yes,Yes
PAYMENT-000570,No,Yes
PAYMENT-000571,Yes,Yes
PAYMENT-000572,Yes,Yes
PAYMENT-000573,No,Yes
PAYMENT-000574,No,No
PAYMENT-000575,Yes,Yes
PAYMENT-000576,Yes,Yes
PAYMENT-000577,No,Yes
PAYMENT-000578,Yes,Yes
PAYMENT-000579,No,Yes
PAYMENT-000580,No,Yes
PAYMENT-000581,Yes,Yes
PAYMENT-000582,No,Yes
PAYMENT-000583,No,No
PAYMENT-000584,No,Yes
PAYMENT-000585,No,Yes
PAYMENT-000586,No,Yes
PAYMENT-000587,No,Yes
PAYMENT-000588,No,Yes
PAYMENT-000589,No,Yes
PAYMENT-000590,No,Yes
PAYMENT-000591,Yes,Yes
PAYMENT-000592,No,Yes
PAYMENT-000593,Yes,Yes
PAYMENT-000594,No,Yes
PAYMENT-000595,Yes,Yes
PAYMENT-000596,Yes,Yes
PAYMENT-000597,No,Yes
PAYMENT-000598,No,Yes
PAYMENT-000599,No,Yes
PAYMENT-000600,Yes,Yes
PAYMENT-000601,Yes,Yes
PAYMENT-000602,No,Yes
PAYMENT-000603,Yes,Yes
PAYMENT-000604,No,Yes
PAYMENT-000605,Yes,No
PAYMENT-000606,No,Yes
PAYMENT-000607,No,Yes
PAYMENT-000608,Yes,Yes
PAYMENT-000609,Yes,Yes
PAYMENT-000610,Yes,Yes
PAYMENT-000611,Yes,Yes
PAYMENT-000612,Yes,Yes
PAYMENT-000613,Yes,Yes
PAYMENT-000614,Yes,No
PAYMENT-000615,No,Yes
PAYMENT-000616,Yes,Yes
PAYMENT-000617,No,Yes
PAYMENT-000618,No,Yes
PAYMENT-000619,No,Yes
PAYMENT-000620,No,Yes
PAYMENT-000621,No,Yes
PAYMENT-000622,Yes,Yes
PAYMENT-000623,Yes,Yes
PAYMENT-000624,No,Yes
PAYMENT-000625,No,Yes
PAYMENT-000626,No,Yes
PAYMENT-000627,Yes,Yes
PAYMENT-000628,Yes,Yes
PAYMENT-000629,Yes,Yes
PAYMENT-000630,No,Yes
PAYMENT-000631,Yes,Yes
PAYMENT-000632,Yes,Yes
PAYMENT-000633,No,Yes
PAYMENT-000634,Yes,Yes
PAYMENT-000635,No,Yes
PAYMENT-000636,No,Yes
PAYMENT-000637,Yes,Yes
PAYMENT-000638,No,Yes
PAYMENT-000639,Yes,Yes
PAYMENT-000640,No,Yes
PAYMENT-000641,No,Yes
PAYMENT-000642,Yes,Yes
PAYMENT-000643,Yes,Yes
PAYMENT-000644,Yes,No
PAYMENT-000645,No,Yes
PAYMENT-000646,No,Yes
PAYMENT-000647,Yes,Yes
PAYMENT-000648,No,Yes
PAYMENT-000649,Yes,Yes
PAYMENT-000650,No,Yes
PAYMENT-000651,Yes,Yes
PAYMENT-000652,Yes,Yes
PAYMENT-000653,Yes,Yes
PAYMENT-000654,No,Yes
PAYMENT-000655,Yes,Yes
PAYMENT-000656,No,Yes
PAYMENT-000657,Yes,No
PAYMENT-000658,Yes,Yes
PAYMENT-000659,No,Yes
PAYMENT-000660,Yes,Yes
PAYMENT-000661,Yes,Yes
PAYMENT-000662,No,Yes
PAYMENT-000663,No,Yes
PAYMENT-000664,Yes,Yes
PAYMENT-000665,Yes,Yes
PAYMENT-000666,No,Yes
PAYMENT-000667,Yes,Yes
PAYMENT-000668,No,Yes
PAYMENT-000669,No,Yes
PAYMENT-000670,Yes,No
PAYMENT-000671,No,Yes
PAYMENT-000672,Yes,Yes
PAYMENT-000673,Yes,Yes
PAYMENT-000674,No,Yes
PAYMENT-000675,Yes,Yes
PAYMENT-000676,Yes,Yes
PAYMENT-000677,No,Yes
PAYMENT-000678,Yes,Yes
PAYMENT-000679,No,Yes
PAYMENT-000680,Yes,Yes
PAYMENT-000681,Yes,Yes
PAYMENT-000682,Yes,No
PAYMENT-000683,Yes,Yes
PAYMENT-000684,Yes,Yes
PAYMENT-000685,Yes,Yes
PAYMENT-000686,Yes,Yes
PAYMENT-000687,No,Yes
PAYMENT-000688,Yes,Yes
PAYMENT-000689,No,Yes
PAYMENT-000690,No,Yes
PAYMENT-000691,No,Yes
PAYMENT-000692,No,Yes
PAYMENT-000693,Yes,Yes
PAYMENT-000694,Yes,No
PAYMENT-000695,Yes,Yes
PAYMENT-000696,Yes,Yes
PAYMENT-000697,Yes,No
PAYMENT-000698,Yes,Yes
PAYMENT-000699,Yes,Yes
PAYMENT-000700,No,Yes
PAYMENT-000701,Yes,No
PAYMENT-000702,No,Yes
PAYMENT-000703,Yes,No
PAYMENT-000704,Yes,Yes
PAYMENT-000705,Yes,Yes
PAYMENT-000706,Yes,No
PAYMENT-000707,Yes,Yes
PAYMENT-000708,Yes,Yes
PAYMENT-000709,Yes,Yes
PAYMENT-000710,Yes,Yes
PAYMENT-000711,No,Yes
PAYMENT-000712,No,Yes
PAYMENT-000713,No,Yes
PAYMENT-000714,Yes,Yes
PAYMENT-000715,No,Yes
PAYMENT-000716,Yes,Yes
PAYMENT-000717,No,Yes
PAYMENT-000718,No,Yes
PAYMENT-000719,No,Yes
PAYMENT-000720,No,Yes
PAYMENT-000721,No,Yes
PAYMENT-000722,No,Yes
PAYMENT-000723,Yes,Yes
PAYMENT-000724,Yes,Yes
PAYMENT-000725,Yes,Yes
PAYMENT-000726,Yes,Yes
PAYMENT-000727,Yes,Yes
PAYMENT-000728,No,Yes
PAYMENT-000729,Yes,Yes
PAYMENT-000730,No,Yes
PAYMENT-000731,No,Yes
PAYMENT-000732,No,Yes
PAYMENT-000733,No,Yes
PAYMENT-000734,Yes,Yes
PAYMENT-000735,Yes,Yes
PAYMENT-000736,No,Yes
PAYMENT-000737,Yes,Yes
PAYMENT-000738,Yes,Yes
PAYMENT-000739,No,Yes
PAYMENT-000740,No,Yes
PAYMENT-000741,No,Yes
PAYMENT-000742,Yes,Yes
PAYMENT-000743,Yes,Yes
PAYMENT-000744,No,Yes
PAYMENT-000745,Yes,Yes
PAYMENT-000746,No,Yes
PAYMENT-000747,Yes,Yes
PAYMENT-000748,No,Yes
PAYMENT-000749,No,Yes
PAYMENT-000750,Yes,Yes
PAYMENT-000751,No,Yes
PAYMENT-000752,No,Yes
PAYMENT-000753,Yes,Yes
PAYMENT-000754,No,Yes
PAYMENT-000755,Yes,Yes
PAYMENT-000756,No,Yes
PAYMENT-000757,No,Yes
PAYMENT-000758,No,Yes
PAYMENT-000759,No,Yes
PAYMENT-000760,Yes,Yes
PAYMENT-000761,Yes,Yes
PAYMENT-000762,No,Yes
PAYMENT-000763,No,Yes
PAYMENT-000764,No,Yes
PAYMENT-000765,No,Yes
PAYMENT-000766,Yes,No
PAYMENT-000767,Yes,Yes
PAYMENT-000768,No,Yes
PAYMENT-000769,Yes,Yes
PAYMENT-000770,Yes,No
PAYMENT-000771,Yes,Yes
PAYMENT-000772,No,Yes
PAYMENT-000773,Yes,Yes
PAYMENT-000774,Yes,Yes
PAYMENT-000775,No,Yes
PAYMENT-000776,Yes,Yes
PAYMENT-000777,No,Yes
PAYMENT-000778,No,Yes
PAYMENT-000779,No,No
PAYMENT-000780,Yes,Yes
PAYMENT-000781,Yes,Yes
PAYMENT-000782,Yes,No
PAYMENT-000783,Yes,Yes
PAYMENT-000784,No,Yes
PAYMENT-000785,Yes,Yes
PAYMENT-000786,No,Yes
PAYMENT-000787,No,Yes
PAYMENT-000788,No,Yes
PAYMENT-000789,No,Yes
PAYMENT-000790,Yes,Yes
PAYMENT-000791,Yes,Yes
PAYMENT-000792,No,Yes
PAYMENT-000793,Yes,Yes
PAYMENT-000794,Yes,Yes
PAYMENT-000795,No,Yes
PAYMENT-000796,Yes,Yes
PAYMENT-000797,No,No
PAYMENT-000798,Yes,Yes
PAYMENT-000799,No,Yes
PAYMENT-000800,No,No
PAYMENT-000801,Yes,Yes
PAYMENT-000802,No,Yes
PAYMENT-000803,Yes,Yes
PAYMENT-000804,No,Yes
PAYMENT-000805,Yes,Yes
PAYMENT-000806,Yes,Yes
PAYMENT-000807,No,Yes
PAYMENT-000808,No,Yes
PAYMENT-000809,Yes,Yes
PAYMENT-000810,Yes,Yes
PAYMENT-000811,Yes,No
PAYMENT-000812,No,Yes
PAYMENT-000813,Yes,Yes
PAYMENT-000814,No,Yes
PAYMENT-000815,No,Yes
PAYMENT-000816,Yes,No
PAYMENT-000817,No,Yes
PAYMENT-000818,No,Yes
PAYMENT-000819,No,No
PAYMENT-000820,No,Yes
PAYMENT-000821,No,Yes
PAYMENT-000822,No,Yes
PAYMENT-000823,Yes,Yes
PAYMENT-000824,No,Yes
PAYMENT-000825,No,Yes
PAYMENT-000826,Yes,Yes
PAYMENT-000827,No,No
PAYMENT-000828,No,No
